"","ID","toID","GNIS_ID","QA_MA","Index"
"59",1625,1624,"969117",1107.811,22
"60",1657,1624,"949000",1603.403,22
"61",1711,1727,"217887",10873.952,23
"62",1712,1711,"217887",8358.987,23
"63",1740,1711,"1198082",2510.099,23
"64",1773,1772,"217887",16669.106,24
"65",1774,1773,"217887",13783.226,24
"66",1796,1773,"1193302",2868.094,24
"67",2060,2059,"1190936",1298.945,25
"68",2061,2060,"1190936",767.925,25
"69",2065,2060,"1171976",527.606,25
"70",2172,2170,"591690",24318.63,26
"71",2023,2172,"591690",14629.664,26
"72",2151,2172,"1190936",9687.466,26
"73",2176,2174,"1214680",987.603,27
"74",2177,2176,"1192488",474.02,27
"75",2266,2265,"1214680",2283.239,28
"76",2179,2266,"1214680",1198.947,28
"77",2194,2266,"1193174",1083.86,28
"78",2286,2285,"591690",30416.158,29
"79",2171,2286,"591690",26392.593,29
"80",2226,2286,"1214680",3986.007,29
"81",2345,2351,"597915",3418.847,30
"82",2332,2345,"1552968",1609.622,30
"83",2436,2466,"1556740",2846.492,31
"84",2435,2436,"1487411",1898.04,31
"85",2488,2487,"597915",9883.341,32
"86",2368,2488,"597915",6681.318,32
"87",2439,2488,"1556740",3185.533,32
"88",2821,2829,"1488853",11085.094,33
"89",2785,2821,"1488853",10610.984,33
"90",2819,2821,"1478374",471.127,33
"91",2984,3053,"1502110",9320.238,34
"92",2986,2984,"1502110",9191.989,34
"93",2992,2984,"991333",118.425,34
"94",2988,2989,"1502110",9015.9,35
"95",2987,2988,"1502110",8847.705,35
"96",2990,2988,"1023998",168.077,35
"97",3198,3197,"991815",3303.778,36
"98",3157,3198,"1024343",3025.333,36
"99",3349,3328,"986517",1812.66,37
"100",3350,3349,"986517",1436.577,37
"101",3351,3349,"991039",372.524,37
"102",3438,3437,"1023879",3414.789,38
"103",3327,3438,"986517",1835.567,38
"104",3407,3438,"1023944",1578.744,38
"105",3496,3448,"1023879",9909.222,39
"106",3495,3496,"1023879",7586.762,39
