field_1,MonitoringLocationIdentifier,lat,lon
"14718",42SRBCWQ_WQX-RAYS042.8-4078,40.2211111,-78.2502778
"13154",21PA_WQX-WQN0223,40.215,-78.2647
"23156",USGS-01562000,40.2159125,-78.2652901
"14719",42SRBCWQ_WQX-RAYS054.8-4078,40.10661,-78.27663
"14720",42SRBCWQ_WQX-RAYS080.5-4078,40.0108333,-78.3175
"12973",21PA_WQX-RAYSTOWN,40.4519,-77.9853
"14717",42SRBCWQ_WQX-RAYS004.6-4077,40.4319444,-77.9983333
"12776",21PA_WQX-JUNAMITY,40.4519,-77.0247
"14561",42SRBCWQ_WQX-JUNR002.0-4077,40.4252778,-77.0163889
"12917",21PA_WQX-NEW11.5,40.4783,-77.1272
"12919",21PA_WQX-NEW4,40.4786,-77.1286
"12779",21PA_WQX-JUNNEW6,40.4789,-77.1272
"13152",21PA_WQX-WQN0214,40.4789,-77.1283
"14562",42SRBCWQ_WQX-JUNR017.3-4077,40.5397222,-77.1508333
"13059",21PA_WQX-THOM5,40.5531,-77.2372
"14563",42SRBCWQ_WQX-JUNR034.0-4077,40.5683333,-77.4002778
"12844",21PA_WQX-LTOWN8,40.5828,-77.5322
"14565",42SRBCWQ_WQX-JUNR047.0-4077,40.5938889,-77.58
"14566",42SRBCWQ_WQX-JUNR063.6-4077,40.5008333,-77.7375
"12778",21PA_WQX-JUNMCVEY4,40.5025,-77.7364
"12782",21PA_WQX-JUNVINEYARD4,40.4119,-77.7969
"12923",21PA_WQX-NHAM6,40.3911,-77.8347
"12921",21PA_WQX-NEWTHAM,40.3939,-77.8247
"14567",42SRBCWQ_WQX-JUNR074.0-4077,40.385933,-77.872994
"14568",42SRBCWQ_WQX-JUNR084.6-4077,40.3922222,-77.9352778
"12777",21PA_WQX-JUNMAPLE3,40.3939,-77.9253
"12780",21PA_WQX-JUNPOINT2,40.45,-77.9742
