"","MonitoringLocationIdentifier","lat","lon"
"167","1119USBR_WQX-GAR104",44.6908333,-116.0088888
"168","1119USBR_WQX-GAR106",44.7316666,-116.1088888
"169","1119USBR_WQX-GAR107",44.6663472,-116.1111444
"170","1119USBR_WQX-GAR117",44.9230555,-116.1238888
"171","1119USBR_WQX-GAR120",44.9052778,-116.1172222
"172","1119USBR_WQX-GAR133",44.6217861,-116.0842916
"173","1119USBR_WQX-GAR135",44.7172583,-116.0675111
"174","1119USBR_WQX-GAR140",44.8980999,-116.1144166
"175","1119USBR_WQX-GAR150",44.84453,-116.15354
"176","1119USBR_WQX-GRR109",45.3441667,-118.0441667
"177","1119USBR_WQX-GRR113",45.5847222,-117.5397222
"178","1119USBR_WQX-GRR114",45.4930556,-117.5794444
"179","1119USBR_WQX-GRR115",45.4952778,-117.4305556
"180","1119USBR_WQX-GRR116",45.4305556,-117.9997222
"181","1119USBR_WQX-GRR117",45.1555556,-117.7738889
"182","1119USBR_WQX-GRR131",45.2894444,-117.1519444
"183","1119USBR_WQX-GRR135",45.3430556,-117.1669444
"184","1119USBR_WQX-GRR137",45.4177778,-117.1661111
"185","1119USBR_WQX-GRR138",45.405,-117.2088889
"186","1119USBR_WQX-GRR139",45.3961111,-117.2238889
"187","1119USBR_WQX-GRR140",45.3997222,-117.2291667
"188","1119USBR_WQX-GRR141",45.5690278,-117.5195278
"189","1119USBR_WQX-GRR142",45.6089167,-117.6148611
"190","1119USBR_WQX-GRR146",45.4884444,-117.4026389
"191","1119USBR_WQX-GRR147",45.2008333,-117.9297222
"192","1119USBR_WQX-GRR148",45.537,-117.4761389
"193","1119USBR_WQX-GRR150",45.4568333,-117.9532778
"194","1119USBR_WQX-GRR151",45.3433333,-118.0158333
"195","1119USBR_WQX-GRR152",45.4965556,-117.9232778
"196","1119USBR_WQX-GRR153",45.3538888,-118.1908333
"197","1119USBR_WQX-GRR154",45.3422778,-118.2357222
"198","1119USBR_WQX-GRR155",45.3497222,-117.9638888
"199","1119USBR_WQX-GRR156",45.2630833,-117.9298889
"200","1119USBR_WQX-GRR163",45.4677777,-118.0066666
"201","1119USBR_WQX-GRR164",45.4925833,-117.9371111
"202","1119USBR_WQX-GRR165",45.2036111,-117.8333333
"203","1119USBR_WQX-GRR167",45.4933333,-117.9788888
"204","1119USBR_WQX-GRR168",45.3201389,-117.8615556
